horizon,milliseconds,frames,model,step,step_time_ms_at_60fps,samples,correct,accuracy
50ms,50,3,xgboost,1,16.666666666666668,6574,6296,0.9577121995740797
50ms,50,3,xgboost,2,33.333333333333336,6574,5892,0.8962579860054761
50ms,50,3,xgboost,3,50.0,6574,5608,0.8530574992394281
50ms,50,3,fep,1,16.666666666666668,6574,3530,0.5369637967751749
50ms,50,3,fep,2,33.333333333333336,6574,3544,0.5390933982354731
50ms,50,3,fep,3,50.0,6574,3553,0.5404624277456648
100ms,100,6,xgboost,1,16.666666666666668,6466,6193,0.9577791524899474
100ms,100,6,xgboost,2,33.333333333333336,6466,5796,0.8963810702134241
100ms,100,6,xgboost,3,50.0,6466,5518,0.8533869471079493
100ms,100,6,xgboost,4,66.66666666666667,6466,5256,0.8128673059078255
100ms,100,6,xgboost,5,83.33333333333333,6466,5006,0.7742035261367152
100ms,100,6,xgboost,6,100.0,6466,4766,0.7370862975564492
100ms,100,6,fep,1,16.666666666666668,6466,3436,0.5313949891741416
100ms,100,6,fep,2,33.333333333333336,6466,3449,0.5334055057222394
100ms,100,6,fep,3,50.0,6466,3460,0.5351067120321683
100ms,100,6,fep,4,66.66666666666667,6466,3462,0.5354160222703371
100ms,100,6,fep,5,83.33333333333333,6466,3461,0.5352613671512527
100ms,100,6,fep,6,100.0,6466,3456,0.5344880915558305
200ms,200,12,xgboost,1,16.666666666666668,6250,5982,0.95712
200ms,200,12,xgboost,2,33.333333333333336,6250,5593,0.89488
200ms,200,12,xgboost,3,50.0,6250,5319,0.85104
200ms,200,12,xgboost,4,66.66666666666667,6250,5062,0.80992
200ms,200,12,xgboost,5,83.33333333333333,6250,4819,0.77104
200ms,200,12,xgboost,6,100.0,6250,4587,0.73392
200ms,200,12,xgboost,7,116.66666666666667,6250,4372,0.69952
200ms,200,12,xgboost,8,133.33333333333334,6250,4190,0.6704
200ms,200,12,xgboost,9,150.0,6250,4039,0.64624
200ms,200,12,xgboost,10,166.66666666666666,6250,3904,0.62464
200ms,200,12,xgboost,11,183.33333333333334,6250,3763,0.60208
200ms,200,12,xgboost,12,200.0,6250,3639,0.58224
200ms,200,12,fep,1,16.666666666666668,6250,3248,0.51968
200ms,200,12,fep,2,33.333333333333336,6250,3261,0.52176
200ms,200,12,fep,3,50.0,6250,3273,0.52368
200ms,200,12,fep,4,66.66666666666667,6250,3277,0.52432
200ms,200,12,fep,5,83.33333333333333,6250,3276,0.52416
200ms,200,12,fep,6,100.0,6250,3272,0.52352
200ms,200,12,fep,7,116.66666666666667,6250,3265,0.5224
200ms,200,12,fep,8,133.33333333333334,6250,3256,0.52096
200ms,200,12,fep,9,150.0,6250,3246,0.51936
200ms,200,12,fep,10,166.66666666666666,6250,3233,0.51728
200ms,200,12,fep,11,183.33333333333334,6250,3218,0.51488
200ms,200,12,fep,12,200.0,6250,3202,0.51232
500ms,500,30,xgboost,1,16.666666666666668,5606,5371,0.95808062789868
500ms,500,30,xgboost,2,33.333333333333336,5606,5015,0.8945772386728505
500ms,500,30,xgboost,3,50.0,5606,4769,0.8506956831965751
500ms,500,30,xgboost,4,66.66666666666667,5606,4538,0.8094898323225116
500ms,500,30,xgboost,5,83.33333333333333,5606,4320,0.7706029254370318
500ms,500,30,xgboost,6,100.0,5606,4110,0.733143061006065
500ms,500,30,xgboost,7,116.66666666666667,5606,3913,0.6980021405636818
500ms,500,30,xgboost,8,133.33333333333334,5606,3744,0.6678558687120942
500ms,500,30,xgboost,9,150.0,5606,3604,0.6428826257581163
500ms,500,30,xgboost,10,166.66666666666666,5606,3478,0.6204067070995362
500ms,500,30,xgboost,11,183.33333333333334,5606,3345,0.5966821262932572
500ms,500,30,xgboost,12,200.0,5606,3231,0.5763467713164466
500ms,500,30,xgboost,13,216.66666666666666,5606,3113,0.5552978951123796
500ms,500,30,xgboost,14,233.33333333333334,5606,2993,0.5338922582946842
500ms,500,30,xgboost,15,250.0,5606,2878,0.5133785230110596
500ms,500,30,xgboost,16,266.6666666666667,5606,2770,0.4941134498751338
500ms,500,30,xgboost,17,283.3333333333333,5606,2658,0.4741348555119515
500ms,500,30,xgboost,18,300.0,5606,2558,0.4562968248305387
500ms,500,30,xgboost,19,316.6666666666667,5606,2443,0.435783089546914
500ms,500,30,xgboost,20,333.3333333333333,5606,2317,0.4133071708883339
500ms,500,30,xgboost,21,350.0,5606,2190,0.3906528719229397
500ms,500,30,xgboost,22,366.6666666666667,5606,2072,0.36960399571887265
500ms,500,30,xgboost,23,383.3333333333333,5606,1979,0.35301462718515875
500ms,500,30,xgboost,24,400.0,5606,1908,0.3403496254013557
500ms,500,30,xgboost,25,416.6666666666667,5606,1862,0.3321441312879058
500ms,500,30,xgboost,26,433.3333333333333,5606,1833,0.3269711023902961
500ms,500,30,xgboost,27,450.0,5606,1801,0.32126293257224403
500ms,500,30,xgboost,28,466.6666666666667,5606,1769,0.3155547627541919
500ms,500,30,xgboost,29,483.3333333333333,5606,1740,0.31038173385658224
500ms,500,30,xgboost,30,500.0,5609,1684,0.30023177036904974
500ms,500,30,fep,1,16.666666666666668,5606,2832,0.5051730288976097
500ms,500,30,fep,2,33.333333333333336,5606,2837,0.5060649304316803
500ms,500,30,fep,3,50.0,5606,2840,0.5066000713521227
500ms,500,30,fep,4,66.66666666666667,5606,2834,0.505529789511238
500ms,500,30,fep,5,83.33333333333333,5606,2826,0.504102747056725
500ms,500,30,fep,6,100.0,5606,2816,0.5023189439885837
500ms,500,30,fep,7,116.66666666666667,5606,2803,0.5
500ms,500,30,fep,8,133.33333333333334,5606,2788,0.4973242953977881
500ms,500,30,fep,9,150.0,5606,2772,0.49447021048876205
500ms,500,30,fep,10,166.66666666666666,5606,2755,0.4914377452729219
500ms,500,30,fep,11,183.33333333333334,5606,2736,0.48804851944345345
500ms,500,30,fep,12,200.0,5606,2717,0.484659293613985
500ms,500,30,fep,13,216.66666666666666,5606,2705,0.4825187299322155
500ms,500,30,fep,14,233.33333333333334,5606,2694,0.4805565465572601
500ms,500,30,fep,15,250.0,5606,2685,0.4789511237959329
500ms,500,30,fep,16,266.6666666666667,5606,2679,0.47788084195504815
500ms,500,30,fep,17,283.3333333333333,5606,2676,0.4773457010346058
500ms,500,30,fep,18,300.0,5606,2669,0.4760970388869069
500ms,500,30,fep,19,316.6666666666667,5606,2662,0.474848376739208
500ms,500,30,fep,20,333.3333333333333,5606,2656,0.47377809489832323
500ms,500,30,fep,21,350.0,5606,2648,0.4723510524438102
500ms,500,30,fep,22,366.6666666666667,5606,2646,0.47199429183018193
500ms,500,30,fep,23,383.3333333333333,5606,2639,0.47074562968248307
500ms,500,30,fep,24,400.0,5606,2630,0.4691402069211559
500ms,500,30,fep,25,416.6666666666667,5606,2619,0.4671780235462005
500ms,500,30,fep,26,433.3333333333333,5606,2609,0.46539422047805923
500ms,500,30,fep,27,450.0,5606,2602,0.4641455583303603
500ms,500,30,fep,28,466.6666666666667,5606,2593,0.4625401355690332
500ms,500,30,fep,29,483.3333333333333,5606,2582,0.46057795219407777
500ms,500,30,fep,30,500.0,5609,2568,0.457835621322874
1000ms,1000,60,xgboost,1,16.666666666666668,4744,4540,0.9569983136593592
1000ms,1000,60,xgboost,2,33.333333333333336,4741,4230,0.892216831892006
1000ms,1000,60,xgboost,3,50.0,4738,4023,0.8490924440692276
1000ms,1000,60,xgboost,4,66.66666666666667,4735,3828,0.8084477296726504
1000ms,1000,60,xgboost,5,83.33333333333333,4732,3647,0.7707100591715976
1000ms,1000,60,xgboost,6,100.0,4729,3475,0.7348276591245506
1000ms,1000,60,xgboost,7,116.66666666666667,4726,3311,0.7005924672027084
1000ms,1000,60,xgboost,8,133.33333333333334,4723,3173,0.6718187592631801
1000ms,1000,60,xgboost,9,150.0,4720,3058,0.6478813559322034
1000ms,1000,60,xgboost,10,166.66666666666666,4717,2953,0.6260334958660165
1000ms,1000,60,xgboost,11,183.33333333333334,4714,2846,0.6037335596096733
1000ms,1000,60,xgboost,12,200.0,4711,2755,0.5848015283379325
1000ms,1000,60,xgboost,13,216.66666666666666,4708,2660,0.5649957519116398
1000ms,1000,60,xgboost,14,233.33333333333334,4705,2566,0.5453772582359192
1000ms,1000,60,xgboost,15,250.0,4702,2474,0.5261590812420247
1000ms,1000,60,xgboost,16,266.6666666666667,4699,2392,0.5090444775484145
1000ms,1000,60,xgboost,17,283.3333333333333,4696,2304,0.4906303236797274
1000ms,1000,60,xgboost,18,300.0,4693,2227,0.47453654378862137
1000ms,1000,60,xgboost,19,316.6666666666667,4690,2137,0.45565031982942433
1000ms,1000,60,xgboost,20,333.3333333333333,4687,2043,0.4358864945594197
1000ms,1000,60,xgboost,21,350.0,4684,1953,0.4169513236549957
1000ms,1000,60,xgboost,22,366.6666666666667,4681,1866,0.3986327707754753
1000ms,1000,60,xgboost,23,383.3333333333333,4678,1777,0.3798631893971783
1000ms,1000,60,xgboost,24,400.0,4675,1722,0.3683422459893048
1000ms,1000,60,xgboost,25,416.6666666666667,4672,1684,0.3604452054794521
1000ms,1000,60,xgboost,26,433.3333333333333,4669,1666,0.3568215892053973
1000ms,1000,60,xgboost,27,450.0,4666,1641,0.35169309901414486
1000ms,1000,60,xgboost,28,466.6666666666667,4663,1616,0.3465580098648938
1000ms,1000,60,xgboost,29,483.3333333333333,4661,1599,0.34305942930701566
1000ms,1000,60,xgboost,30,500.0,4662,1553,0.3331188331188331
1000ms,1000,60,xgboost,31,516.6666666666666,4663,1523,0.3266137679605404
1000ms,1000,60,xgboost,32,533.3333333333334,4666,1505,0.32254607801114443
1000ms,1000,60,xgboost,33,550.0,4669,1343,0.2876418933390448
1000ms,1000,60,xgboost,34,566.6666666666666,4672,1335,0.2857448630136986
1000ms,1000,60,xgboost,35,583.3333333333334,4675,1322,0.2827807486631016
1000ms,1000,60,xgboost,36,600.0,4678,1314,0.28088926891834115
1000ms,1000,60,xgboost,37,616.6666666666666,4681,1305,0.27878658406323437
1000ms,1000,60,xgboost,38,633.3333333333334,4684,1306,0.2788215200683177
1000ms,1000,60,xgboost,39,650.0,4687,1310,0.27949647962449325
1000ms,1000,60,xgboost,40,666.6666666666666,4690,1287,0.2744136460554371
1000ms,1000,60,xgboost,41,683.3333333333334,4693,1284,0.27359897720008525
1000ms,1000,60,xgboost,42,700.0,4696,1269,0.27022998296422485
1000ms,1000,60,xgboost,43,716.6666666666666,4699,1262,0.268567780378804
1000ms,1000,60,xgboost,44,733.3333333333334,4702,1257,0.267333049766057
1000ms,1000,60,xgboost,45,750.0,4705,1303,0.2769394261424017
1000ms,1000,60,xgboost,46,766.6666666666666,4708,1299,0.27591333899745113
1000ms,1000,60,xgboost,47,783.3333333333334,4711,1269,0.2693695606028444
1000ms,1000,60,xgboost,48,800.0,4714,1290,0.2736529486635554
1000ms,1000,60,xgboost,49,816.6666666666666,4717,1279,0.2711469154123384
1000ms,1000,60,xgboost,50,833.3333333333334,4720,1271,0.26927966101694917
1000ms,1000,60,xgboost,51,850.0,4723,1243,0.26318018208765614
1000ms,1000,60,xgboost,52,866.6666666666666,4726,1232,0.26068556919170544
1000ms,1000,60,xgboost,53,883.3333333333334,4729,1217,0.2573482765912455
1000ms,1000,60,xgboost,54,900.0,4732,1199,0.25338123415046493
1000ms,1000,60,xgboost,55,916.6666666666666,4735,1187,0.2506863780359028
1000ms,1000,60,xgboost,56,933.3333333333334,4738,1173,0.24757281553398058
1000ms,1000,60,xgboost,57,950.0,4741,1151,0.24277578569921957
1000ms,1000,60,xgboost,58,966.6666666666666,4743,1135,0.2393000210837023
1000ms,1000,60,xgboost,59,983.3333333333334,4745,1111,0.23414120126448892
1000ms,1000,60,xgboost,60,1000.0,4747,1080,0.227512112913419
1000ms,1000,60,fep,1,16.666666666666668,4744,2321,0.4892495784148398
1000ms,1000,60,fep,2,33.333333333333336,4741,2323,0.48998101666315125
1000ms,1000,60,fep,3,50.0,4738,2325,0.49071338117349095
1000ms,1000,60,fep,4,66.66666666666667,4735,2322,0.4903907074973601
1000ms,1000,60,fep,5,83.33333333333333,4732,2318,0.48985629754860527
1000ms,1000,60,fep,6,100.0,4729,2316,0.48974413195178684
1000ms,1000,60,fep,7,116.66666666666667,4726,2311,0.48899703766398644
1000ms,1000,60,fep,8,133.33333333333334,4723,2305,0.48803726445056106
1000ms,1000,60,fep,9,150.0,4720,2299,0.4870762711864407
1000ms,1000,60,fep,10,166.66666666666666,4717,2292,0.4859020563917744
1000ms,1000,60,fep,11,183.33333333333334,4714,2284,0.484514212982605
1000ms,1000,60,fep,12,200.0,4711,2277,0.48333687115262153
1000ms,1000,60,fep,13,216.66666666666666,4708,2271,0.4823704333050127
1000ms,1000,60,fep,14,233.33333333333334,4705,2266,0.481615302869288
1000ms,1000,60,fep,15,250.0,4702,2261,0.48085920884729905
1000ms,1000,60,fep,16,266.6666666666667,4699,2257,0.48031496062992124
1000ms,1000,60,fep,17,283.3333333333333,4696,2256,0.4804088586030664
1000ms,1000,60,fep,18,300.0,4693,2250,0.4794374600468783
1000ms,1000,60,fep,19,316.6666666666667,4690,2245,0.47867803837953093
1000ms,1000,60,fep,20,333.3333333333333,4687,2238,0.47749093236611906
1000ms,1000,60,fep,21,350.0,4684,2228,0.47566182749786506
1000ms,1000,60,fep,22,366.6666666666667,4681,2219,0.4740440076906644
1000ms,1000,60,fep,23,383.3333333333333,4678,2205,0.47135528003420263
1000ms,1000,60,fep,24,400.0,4675,2189,0.4682352941176471
1000ms,1000,60,fep,25,416.6666666666667,4672,2170,0.4644691780821918
1000ms,1000,60,fep,26,433.3333333333333,4669,2152,0.46091240094238595
1000ms,1000,60,fep,27,450.0,4666,2142,0.45906558079725673
1000ms,1000,60,fep,28,466.6666666666667,4663,2128,0.4563585674458503
1000ms,1000,60,fep,29,483.3333333333333,4661,2115,0.45376528641922337
1000ms,1000,60,fep,30,500.0,4662,2101,0.45066495066495066
1000ms,1000,60,fep,31,516.6666666666666,4663,2087,0.4475659446708128
1000ms,1000,60,fep,32,533.3333333333334,4666,2077,0.44513501928846977
1000ms,1000,60,fep,33,550.0,4669,2067,0.4427072178196616
1000ms,1000,60,fep,34,566.6666666666666,4672,2056,0.4400684931506849
1000ms,1000,60,fep,35,583.3333333333334,4675,2042,0.43679144385026736
1000ms,1000,60,fep,36,600.0,4678,2025,0.43287729799059427
1000ms,1000,60,fep,37,616.6666666666666,4681,2009,0.42918179876094853
1000ms,1000,60,fep,38,633.3333333333334,4684,1990,0.42485055508112723
1000ms,1000,60,fep,39,650.0,4687,1972,0.42073821207595474
1000ms,1000,60,fep,40,666.6666666666666,4690,1955,0.4168443496801706
1000ms,1000,60,fep,41,683.3333333333334,4693,1935,0.41231621564031534
1000ms,1000,60,fep,42,700.0,4696,1915,0.407793867120954
1000ms,1000,60,fep,43,716.6666666666666,4699,1895,0.40327729304107257
1000ms,1000,60,fep,44,733.3333333333334,4702,1874,0.3985538068906848
1000ms,1000,60,fep,45,750.0,4705,1853,0.393836344314559
1000ms,1000,60,fep,46,766.6666666666666,4708,1832,0.38912489379779097
1000ms,1000,60,fep,47,783.3333333333334,4711,1811,0.3844194438548079
1000ms,1000,60,fep,48,800.0,4714,1791,0.37993211709800595
1000ms,1000,60,fep,49,816.6666666666666,4717,1775,0.3762984948060208
1000ms,1000,60,fep,50,833.3333333333334,4720,1760,0.3728813559322034
1000ms,1000,60,fep,51,850.0,4723,1747,0.36989201778530595
1000ms,1000,60,fep,52,866.6666666666666,4726,1736,0.3673296656792213
1000ms,1000,60,fep,53,883.3333333333334,4729,1726,0.364982025798266
1000ms,1000,60,fep,54,900.0,4732,1713,0.3620033812341505
1000ms,1000,60,fep,55,916.6666666666666,4735,1701,0.35923970432946145
1000ms,1000,60,fep,56,933.3333333333334,4738,1691,0.35690164626424653
1000ms,1000,60,fep,57,950.0,4741,1685,0.3554102510018983
1000ms,1000,60,fep,58,966.6666666666666,4743,1679,0.35399536158549444
1000ms,1000,60,fep,59,983.3333333333334,4745,1674,0.35279241306638565
1000ms,1000,60,fep,60,1000.0,4747,1671,0.3520117969243733
2000ms,2000,120,xgboost,1,16.666666666666668,3130,2985,0.9536741214057508
2000ms,2000,120,xgboost,2,33.333333333333336,3127,2775,0.887432043492165
2000ms,2000,120,xgboost,3,50.0,3124,2628,0.8412291933418694
2000ms,2000,120,xgboost,4,66.66666666666667,3121,2486,0.7965395706504326
2000ms,2000,120,xgboost,5,83.33333333333333,3118,2354,0.7549711353431687
2000ms,2000,120,xgboost,6,100.0,3115,2233,0.7168539325842697
2000ms,2000,120,xgboost,7,116.66666666666667,3112,2117,0.6802699228791774
2000ms,2000,120,xgboost,8,133.33333333333334,3109,2012,0.6471534255387584
2000ms,2000,120,xgboost,9,150.0,3106,1928,0.6207340631036703
2000ms,2000,120,xgboost,10,166.66666666666666,3103,1852,0.5968417660328714
2000ms,2000,120,xgboost,11,183.33333333333334,3100,1775,0.5725806451612904
2000ms,2000,120,xgboost,12,200.0,3097,1712,0.5527930255085567
2000ms,2000,120,xgboost,13,216.66666666666666,3094,1647,0.5323206205559147
