horizon,milliseconds,frames,model,rollouts,endpoint_accuracy,endpoint_top2_accuracy,endpoint_macro_f1,endpoint_log_loss,process_accuracy,intermediate_accuracy,mean_rollout_process_accuracy,complete_path_accuracy,changed_action_samples,changed_action_accuracy,unchanged_action_samples,unchanged_action_accuracy
50ms,50,3,fep,6574,0.5404624277456648,0.8856099787039854,0.2662843935197157,1.2721910504854923,0.5388398742521042,0.5380285975053241,0.5388398742521043,0.5059324612108306,1107,0.3071364046973803,5467,0.587708066581306
50ms,50,3,xgboost,6574,0.8530574992394281,0.9345908122908427,0.8179151118020401,0.5728011103316876,0.902342561606328,0.9269850927897779,0.902342561606328,0.8465165804685123,1107,0.22944896115627822,5467,0.9793305286263033
100ms,100,6,fep,6466,0.5344880915558305,0.8332817816269719,0.26168307025722337,1.3065299574481184,0.5341787813176616,0.5341169192700278,0.5341787813176616,0.45530467058459634,1932,0.2971014492753623,4534,0.6356418173797971
100ms,100,6,xgboost,6466,0.7370862975564492,0.8724095267553356,0.6657186837996237,0.9999849290247482,0.838617383235385,0.8589236003711723,0.838617383235385,0.722703371481596,1932,0.18478260869565216,4534,0.9724305249228055
200ms,200,12,fep,6250,0.51232,0.74912,0.2473742591367611,1.3719668574453372,0.52036,0.521090909090909,0.52036,0.36272,2733,0.2843029637760702,3517,0.6895081034972989
200ms,200,12,xgboost,6250,0.58224,0.77664,0.4970901419123709,1.5903376101078652,0.73692,0.7509818181818182,0.73692,0.53056,2733,0.14526161727039882,3517,0.9218083593972135
500ms,500,30,fep,5609,0.457835621322874,0.6450347655553574,0.21696988093219932,1.4736005419387765,0.4823198539685937,0.4831645896637839,0.48207048196351104,0.14548047780353004,3367,0.30026730026730025,2242,0.6944692239072257
500ms,500,30,xgboost,5609,0.30023177036904974,0.5837047602068105,0.27043629005063285,2.68177214897313,0.5351670501774852,0.5432726020150823,0.5352350389255364,0.12889998217151008,3367,0.07157707157707158,2242,0.643621766280107
1000ms,1000,60,fep,4747,0.3520117969243733,0.543501158626501,0.1678884309078782,1.7133956125127328,0.4363062967293859,0.43774845655096356,0.4376191188096161,0.009269012007583738,3376,0.24407582938388625,1371,0.6177972283005105
1000ms,1000,60,xgboost,4747,0.227512112913419,0.38150410785759425,0.195849157590072,3.5908537253298936,0.41026186173416956,0.4133884517935725,0.40987550711145243,0.003581209184748262,3376,0.07997630331753554,1371,0.5908096280087527
2000ms,2000,120,fep,3133,0.3916374082349186,0.5397382700287264,0.16759276880411486,1.7031917381801054,0.38132857490469624,0.38124050750265176,0.38674742110745935,0.0,2190,0.24794520547945206,943,0.7253446447507953
2000ms,2000,120,xgboost,3133,0.17235876157037983,0.2716246409192467,0.13502843344193285,4.100525159686612,0.3013085678751994,0.3024101740484325,0.3020061755459138,0.0,2190,0.06438356164383562,943,0.42311770943796395
3000ms,3000,180,fep,1722,0.46631823461091754,0.6196283391405343,0.19303334236920575,1.528313844305372,0.3881770857449018,0.3877295103778606,0.3969878403451332,0.0,1228,0.3469055374592834,494,0.7631578947368421
3000ms,3000,180,xgboost,1722,0.16202090592334495,0.2607433217189315,0.12627485662839877,4.175986032657651,0.27551081154377866,0.27616085683874403,0.27823041041826374,0.0,1228,0.04478827361563518,494,0.4534412955465587
