horizon,frames,model,split,samples,accuracy,top2_accuracy,macro_f1,log_loss,changed_action_samples,changed_action_accuracy,unchanged_action_samples,unchanged_action_accuracy
50ms,3,fep_efe,validation,3190,0.5783699059561128,0.780564263322884,0.40270259562037836,1.1380211800792532,548,0.2518248175182482,2642,0.6461014383043149
50ms,3,fep_efe,test,6583,0.5565851435515722,0.7703174844295914,0.3645807805223333,1.1301265746032991,1116,0.18189964157706093,5467,0.6330711541979147
50ms,3,fep_generative,validation,3190,0.6526645768025079,0.9047021943573668,0.4357359393002437,0.8064996721601676,548,0.1678832116788321,2642,0.753217259651779
50ms,3,fep_generative,test,6583,0.6832751025368373,0.9009570104815434,0.43961077836310797,0.8069043539581623,1116,0.11290322580645161,5467,0.7997073349186026
50ms,3,xgboost,validation,3190,0.868025078369906,0.9592476489028213,0.8439595849013802,0.3703187047742161,548,0.31386861313868614,2642,0.9829674489023467
50ms,3,xgboost,test,6583,0.8790824851891235,0.966580586358803,0.8347022783047893,0.3320943484394786,1116,0.4345878136200717,5467,0.9698189134808853
50ms,3,xgboost_fep,validation,3190,0.8721003134796238,0.9579937304075236,0.8472853012192081,0.36974514575218975,548,0.33941605839416056,2642,0.9825889477668432
50ms,3,xgboost_fep,test,6583,0.8812091751481088,0.9694668084459973,0.8385408705298627,0.3317919606677224,1116,0.41935483870967744,5467,0.9754892994329614
50ms,3,two_stage,validation,3190,0.8724137931034482,0.9636363636363636,0.8468633559204065,0.37308906568012506,548,0.3193430656934307,2642,0.9871309613928841
50ms,3,two_stage,test,6583,0.8786267659121981,0.967340118487012,0.8406897024309374,0.34404112738046005,1116,0.3655913978494624,5467,0.9833546734955185
50ms,3,two_stage_fep,validation,3190,0.8724137931034482,0.9642633228840125,0.8480126469533055,0.37242214252054023,548,0.3302919708029197,2642,0.9848599545798638
50ms,3,two_stage_fep,test,6583,0.8839434908096613,0.967340118487012,0.8432495279302759,0.33969416873963726,1116,0.4220430107526882,5467,0.9782330345710627
50ms,3,catboost,validation,3190,0.8670846394984326,0.9636363636363636,0.840931085229539,0.3843687168988024,548,0.3010948905109489,2642,0.9844814534443603
50ms,3,catboost,test,6583,0.8689047546711226,0.966580586358803,0.8280688564552381,0.363135797682014,1116,0.3270609318996416,5467,0.9795134443021767
50ms,3,hsmm_duration,validation,3190,0.8322884012539185,0.9141065830721004,0.8101328700249771,0.5362137791537563,548,0.03832116788321168,2642,0.9969719909159728
50ms,3,hsmm_duration,test,6583,0.8348777153273583,0.8974631626917818,0.7984303004864992,0.5372460390470047,1116,0.03763440860215054,5467,0.9976220962136455
50ms,3,context_B,validation,3190,0.6526645768025079,0.9056426332288401,0.4357359393002437,0.7657247555919907,548,0.1678832116788321,2642,0.753217259651779
50ms,3,context_B,test,6583,0.6832751025368373,0.902779887589245,0.43961077836310797,0.7704722588870699,1116,0.11290322580645161,5467,0.7997073349186026
50ms,3,stacking,validation,3190,0.870846394984326,0.958307210031348,0.847375253556726,0.38871700112128893,548,0.3175182481751825,2642,0.9856169568508706
50ms,3,stacking,test,6583,0.8809053622968251,0.9612638614613398,0.8376486680489,0.358429077774016,1116,0.41845878136200715,5467,0.975306383757088
100ms,6,fep_efe,validation,3112,0.4961439588688946,0.7503213367609255,0.25096128698567244,1.211989924810987,971,0.2554067971163749,2141,0.6053246146660439
100ms,6,fep_efe,test,6484,0.534083898827884,0.73673658235657,0.2615469025078568,1.2031668897640115,1950,0.29794871794871797,4534,0.6356418173797971
100ms,6,fep_generative,validation,3112,0.5658740359897172,0.8123393316195373,0.3744507869662123,1.025609217382728,971,0.13079299691040164,2141,0.7631947687996263
100ms,6,fep_generative,test,6484,0.5939235040098705,0.8167797655768044,0.37579084201162666,1.0200489178395797,1950,0.09794871794871794,4534,0.8072342302602559
100ms,6,xgboost,validation,3112,0.797879177377892,0.919344473007712,0.7530462306779533,0.5473586337527812,971,0.4243048403707518,2141,0.9673049976646427
100ms,6,xgboost,test,6484,0.8240283775447255,0.9380012338062924,0.7566380330304577,0.4807116174688249,1950,0.5215384615384615,4534,0.9541243934715483
100ms,6,xgboost_fep,validation,3112,0.7972365038560412,0.9206298200514139,0.7513259674860089,0.547167941030503,971,0.4232749742533471,2141,0.966837926202709
100ms,6,xgboost_fep,test,6484,0.817550894509562,0.940623072177668,0.7488160262555514,0.48109036585859555,1950,0.5046153846153846,4534,0.9521393912659903
