horizon,milliseconds,frames,model,test_samples,accuracy,top2_accuracy,macro_f1,log_loss,changed_action_samples,changed_action_accuracy,unchanged_action_samples,unchanged_action_accuracy
50ms,50,3,majority,6583,0.4019444022482151,0.5483821965669148,0.11468198071296998,20.656108562473555,1116,0.25089605734767023,5467,0.4327784891165173
50ms,50,3,persistence,6583,0.8306243354093878,0.8496126386146134,0.7933276528026489,5.810146929091855,1116,0.0008960573476702509,5467,1.0
50ms,50,3,markov,6583,0.8306243354093878,0.902779887589245,0.7933276528026489,0.6104113301809906,1116,0.0008960573476702509,5467,1.0
50ms,50,3,active_inference,6583,0.5565851435515722,0.7703174844295914,0.3645807805223333,1.1301265746032991,1116,0.18189964157706093,5467,0.6330711541979147
50ms,50,3,xgboost,6583,0.8790824851891235,0.966580586358803,0.8347022783047893,0.3320943484394786,1116,0.4345878136200717,5467,0.9698189134808853
100ms,100,6,majority,6484,0.40623072177668107,0.5549043800123381,0.11555165606492653,20.50806433072273,1950,0.2558974358974359,4534,0.4708866343184826
100ms,100,6,persistence,6484,0.7003392967304133,0.7382788402220851,0.6263383533651569,10.295195891716372,1950,0.0035897435897435897,4534,1.0
100ms,100,6,markov,6484,0.7003392967304133,0.8183220234423195,0.6263383533651569,0.8993857256674922,1950,0.0035897435897435897,4534,1.0
100ms,100,6,active_inference,6484,0.534083898827884,0.73673658235657,0.2615469025078568,1.2031668897640115,1950,0.29794871794871797,4534,0.6356418173797971
100ms,100,6,xgboost,6484,0.8240283775447255,0.9380012338062924,0.7566380330304577,0.4807116174688249,1950,0.5215384615384615,4534,0.9541243934715483
200ms,200,12,majority,6286,0.41329939548202355,0.5666560610881324,0.1169743358847366,20.263920990205317,2769,0.28999638858793786,3517,0.5103781632072789
200ms,200,12,persistence,6286,0.5625198854597518,0.6317212853961184,0.46229793444114975,15.02406642200949,2769,0.006861682918020947,3517,1.0
200ms,200,12,markov,6286,0.5816099268215081,0.7343302577155584,0.4480037600335162,1.121597244336022,2769,0.059588299024918745,3517,0.9926073357975548
200ms,200,12,active_inference,6286,0.5124085268851416,0.5860642698059179,0.24732366338065512,1.302211203731844,2769,0.28746840014445646,3517,0.6895081034972989
200ms,200,12,xgboost,6286,0.7554883868915049,0.9139357301940821,0.6664293887570862,0.6156855942259114,2769,0.5568797399783315,3517,0.911856696047768
300ms,300,18,majority,6088,0.41967805519053875,0.5780223390275953,0.11824597940529909,20.043609888833686,3253,0.3264678758069474,2835,0.52663139329806
300ms,300,18,persistence,6088,0.4707621550591327,0.5721090670170828,0.3712989991990957,18.15976515611777,3253,0.009529664924684907,2835,1.0
300ms,300,18,markov,6088,0.5394218134034166,0.7332457293035479,0.3302482595717491,1.2243246082473143,3253,0.22871195819243775,2835,0.8959435626102292
300ms,300,18,active_inference,6088,0.41967805519053875,0.5780223390275953,0.11824597940529909,1.3542283075050827,3253,0.3264678758069474,2835,0.52663139329806
300ms,300,18,xgboost,6088,0.7169842312746386,0.8930683311432326,0.6218148783621699,0.7115324049856723,3253,0.5853058715032278,2835,0.8680776014109347
500ms,500,30,majority,5696,0.4201193820224719,0.5844452247191011,0.11833353937445915,20.02836700006847,3454,0.33671105964099596,2242,0.5486173059768065
500ms,500,30,persistence,5696,0.4018609550561798,0.5651334269662921,0.3144052906078819,20.43760757604693,3454,0.01360741169658367,2242,1.0
500ms,500,30,markov,5696,0.47155898876404495,0.7143609550561798,0.1994948577151087,1.3193134848980674,3454,0.29704690214244356,2242,0.7404103479036575
500ms,500,30,active_inference,5696,0.4201193820224719,0.6207865168539326,0.11833353937445915,1.3862691752367784,3454,0.33671105964099596,2242,0.5486173059768065
500ms,500,30,xgboost,5696,0.6976825842696629,0.8792134831460674,0.5423681942554222,0.8269255895492971,3454,0.603358425014476,2242,0.8429973238180196
1s,1000,60,majority,4834,0.3965659908978072,0.5889532478278858,0.11358317286327953,20.84187230946514,3463,0.33958995090961597,1371,0.5404814004376368
1s,1000,60,persistence,4834,0.29292511377741004,0.5500620604054614,0.22290690792027673,24.14571237128692,3463,0.012994513427663876,1371,1.0
1s,1000,60,markov,4834,0.31112949937939594,0.5041373603640877,0.1528827298775723,1.5089701700028102,3463,0.34883049379151027,1371,0.21590080233406272
1s,1000,60,active_inference,4834,0.3965659908978072,0.554199420769549,0.11358317286327953,1.4516909762697807,3463,0.33958995090961597,1371,0.5404814004376368
1s,1000,60,xgboost,4834,0.5715763342987175,0.788580885395118,0.4227966209020816,1.1004551375294123,3463,0.5524112041582443,1371,0.6199854121079504
2s,2000,120,majority,3214,0.2803360298693217,0.693528313627878,0.0875820170109356,24.856312943817187,2271,0.3852928225451343,943,0.027571580063626724
2s,2000,120,persistence,3214,0.2968263845675171,0.6095208462974486,0.20710073517622712,23.565092308486065,2271,0.0048436811977102595,943,1.0
2s,2000,120,markov,3214,0.41132545115121344,0.6537025513378967,0.18394736057706637,1.3688563369635138,2271,0.29238221047996477,943,0.6977730646871686
2s,2000,120,active_inference,3214,0.4131922837585563,0.693528313627878,0.1169528841919859,1.4547094657993933,2271,0.2950242184059885,943,0.6977730646871686
2s,2000,120,xgboost,3214,0.5084007467330429,0.7358431860609832,0.2865464041279909,1.1655451688414404,2271,0.4456186701893439,943,0.6595970307529162
3s,3000,180,majority,1751,0.4471730439748715,0.7195888063963449,0.12359905288082082,19.093966619231043,1257,0.32537788385043753,494,0.757085020242915
3s,3000,180,persistence,1751,0.28212450028555114,0.5750999428897773,0.17974949586578723,24.260259217038655,1257,0.0,494,1.0
3s,3000,180,markov,1751,0.4471730439748715,0.7070245573957739,0.12359905288082082,1.335348149779536,1257,0.32537788385043753,494,0.757085020242915
3s,3000,180,active_inference,1751,0.4471730439748715,0.7195888063963449,0.12359905288082082,1.400046232099892,1257,0.32537788385043753,494,0.757085020242915
3s,3000,180,xgboost,1751,0.3797829811536265,0.7155910908052542,0.15671539431436837,1.3222180476226175,1257,0.2967382657120127,494,0.5910931174089069
